state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Iowa,2009,6.84,11.54,2.92,0.8826530612244898,2.303571428571429,0.4923469387755103,never
Kansas,2009,5.95,12.94,3.43,0.8112244897959185,2.9107142857142856,0.596938775510204,never
Kentucky,2009,5.23,14.19,3.29,0.7219387755102041,3.3596938775510203,0.5306122448979592,never
Louisiana,2009,4.81,15.2,3.27,0.7423469387755102,3.7576530612244894,0.5612244897959183,never
Maine,2009,8.45,26.15,7.77,0.9744897959183675,5.908163265306123,0.9897959183673469,before
Maryland,2009,6.86,16.28,3.39,0.9183673469387754,3.6403061224489797,0.5790816326530612,never
Massachusetts,2009,9.05,24.79,5.8,1.0357142857142856,5.41326530612245,0.7653061224489796,before
Michigan,2009,7.85,18.9,5.53,0.5204081632653061,3.497448979591837,0.46173469387755095,never
Minnesota,2009,5.58,16.98,4.14,0.7576530612244897,4.048469387755102,0.6505102040816326,never
Mississippi,2009,4.99,11.57,3.11,0.7270408163265305,2.668367346938776,0.5280612244897958,never
Missouri,2009,5.71,16.86,4.18,0.7423469387755103,4.00765306122449,0.6479591836734694,never
Montana,2009,8.8,22.11,5.7,0.9923469387755102,4.721938775510203,0.8418367346938778,never
Nebraska,2009,6.05,14.58,3.53,0.8214285714285716,3.301020408163265,0.5663265306122448,never
Nevada,2009,8.97,18.31,5.06,1.0408163265306125,3.7015306122448983,0.8010204081632653,before
New Hampshire,2009,9.67,27.39,6.95,1.0306122448979593,5.954081632653061,0.8698979591836733,never
New Jersey,2009,6.12,17.39,2.98,0.8469387755102041,4.058673469387755,0.5433673469387755,never
New Mexico,2009,9.22,15.73,4.55,1.0918367346938775,3.00765306122449,0.7321428571428573,never
New York,2009,8.49,23.14,4.88,0.5816326530612244,4.48469387755102,0.4438775510204082,never
North Carolina,2009,7.13,16.75,4.46,0.8418367346938773,3.6352040816326525,0.6836734693877552,never
North Dakota,2009,5.02,10.65,3.3,0.7015306122448981,2.390306122448979,0.5586734693877552,never
Ohio,2009,7.6,17.27,3.88,0.4974489795918368,3.10969387755102,0.37499999999999994,never
Oklahoma,2009,6.25,14.09,3.98,0.8801020408163264,3.1989795918367347,0.673469387755102,never
Oregon,2009,8.69,23.84,7.12,0.9591836734693877,5.198979591836736,0.9540816326530616,before
Pennsylvania,2009,6.38,15.27,3.3,0.44897959183673464,2.890306122448979,0.32653061224489793,never
Rhode Island,2009,9.11,27.09,6.87,1.096938775510204,6.163265306122449,0.9183673469387756,never
South Carolina,2009,5.51,16.84,4.18,0.7423469387755101,4.048469387755103,0.6989795918367346,never
South Dakota,2009,6.6,13.57,3.44,0.8877551020408164,2.8954081632653064,0.6071428571428571,never
Tennessee,2009,5.22,16.66,3.75,0.7474489795918366,4.038265306122449,0.5994897959183673,never
Texas,2009,6.11,13.4,2.9,0.4846938775510203,2.482142857142857,0.30357142857142855,never
Utah,2009,4.73,8.06,2.25,0.7321428571428572,1.8341836734693877,0.4260204081632653,never
Vermont,2009,9.73,30.56,7.74,1.066326530612245,6.739795918367347,0.9948979591836736,never
Virginia,2009,6.33,15.55,3.44,0.8341836734693879,3.512755102040816,0.5663265306122448,never
Washington,2009,7.73,17.18,5.57,0.9336734693877552,3.6454081632653064,0.8112244897959183,before
West Virginia,2009,5.73,17.34,3.78,0.7321428571428572,4.071428571428572,0.6071428571428571,never
Wisconsin,2009,7.19,17.42,4.2,0.8979591836734695,3.798469387755102,0.6403061224489796,never
Wyoming,2009,7.51,15.36,3.38,0.8954081632653058,3.1913265306122445,0.576530612244898,never
Alabama,2010,5.75,13.9,3.3,0.7168367346938774,3.193877551020408,0.528061224489796,never
Alaska,2010,8.64,24.46,9.82,1.0561224489795917,5.464285714285714,1.2627551020408163,before
Arizona,2010,7.58,15.95,4.78,0.933673469387755,3.3698979591836737,0.7729591836734693,never
