state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
Alaska,2008,14.26,61.68,59.72,1.181122448979592,13.729591836734695,2.0637755102040827,before
Arizona,2008,16.01,60.4,56.47,1.3163265306122454,13.012755102040815,2.033163265306122,never
Arkansas,2008,14.74,53.83,45.02,1.099489795918367,11.50765306122449,1.9413265306122447,never
California,2008,14.81,57.78,53.19,0.6811224489795918,11.834183673469388,1.117346938775509,before
Colorado,2008,18.96,71.26,65.97,1.3290816326530615,14.872448979591839,1.82908163265306,before
Connecticut,2008,18.31,69.4,65.1,1.3443877551020407,14.551020408163266,1.8392857142857164,never
Delaware,2008,15.41,67.25,58.27,1.191326530612245,14.691326530612246,2.020408163265307,never
Florida,2008,16.13,58.33,55.93,0.7372448979591834,11.683673469387754,1.1224489795918364,never
Georgia,2008,13,54.33,51.79,1.125,12.08673469387755,2.0382653061224496,never
Hawaii,2008,12.66,58.51,50.76,1.1581632653061222,13.301020408163266,2.142857142857144,never
Idaho,2008,12.18,51.23,45.23,1.0535714285714288,11.454081632653061,1.9030612244897962,never
Illinois,2008,15.87,64.7,58.11,0.6862244897959187,13.339285714285714,1.0867346938775506,never
Indiana,2008,15.67,58.22,52.28,1.125,12.329081632653061,1.9438775510204076,never
Iowa,2008,15.33,66.39,56.78,1.112244897959184,14.49234693877551,1.9464285714285703,never
Kansas,2008,15.44,65.97,53.25,1.2525510204081634,14.466836734693876,2.068877551020408,never
Kentucky,2008,13.77,53.42,41.52,1.1454081632653066,11.678571428571429,1.9897959183673462,never
Louisiana,2008,15.4,60.2,49.93,1.2295918367346934,12.956632653061224,2.025510204081632,never
Maine,2008,16.26,63.83,55.02,1.2270408163265303,13.66326530612245,2.020408163265307,before
Maryland,2008,14.39,65.59,58.68,1.127551020408163,14.5,2.0637755102040827,never
Massachusetts,2008,18.11,71,64.49,1.323979591836735,15.05357142857143,1.9668367346938778,before
Michigan,2008,15.64,66.32,57.93,0.701530612244898,13.770408163265305,1.0892857142857133,never
Minnesota,2008,16.99,73.34,66.76,1.2984693877551026,15.86734693877551,1.9668367346938778,never
Mississippi,2008,11.85,48.56,39.88,0.9846938775510203,10.849489795918368,1.9923469387755108,never
Missouri,2008,14.9,62.25,52.93,1.1658163265306118,13.543367346938775,1.9413265306122447,never
Montana,2008,18.74,67.8,61.16,1.2959183673469392,14.056122448979595,2.015306122448981,never
Nebraska,2008,16.26,66.78,58.98,1.206632653061225,14.446428571428571,1.9974489795918382,never
Nevada,2008,14.33,58.64,55.76,1.209183673469388,12.92091836734694,2.158163265306123,before
New Hampshire,2008,18.32,74.72,66.96,1.3086734693877549,15.854591836734695,1.8239795918367343,never
New Jersey,2008,15.09,63.49,57.45,1.135204081632653,13.84438775510204,2.1071428571428568,never
New Mexico,2008,15.27,58.27,47.76,1.1760204081632657,12.520408163265305,2.0714285714285707,never
