state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
New Hampshire,2010,13.66,46.77,27.95,1.181122448979592,9.915816326530614,1.6989795918367347,never
New Jersey,2010,9.74,42.22,24.91,1.0357142857142858,9.755102040816327,1.6275510204081631,never
New Mexico,2010,13.06,42.99,26.03,1.1632653061224492,9.13265306122449,1.739795918367347,never
New York,2010,9.98,36.42,23.75,0.5994897959183677,7.561224489795919,0.9515306122448981,never
North Carolina,2010,11.09,43.42,30.42,0.9795918367346939,9.653061224489795,1.721938775510204,never
North Dakota,2010,13.1,42.36,27.47,1.2168367346938775,8.941326530612246,1.678571428571429,never
Ohio,2010,14.01,47.62,30.65,0.6683673469387753,9.38265306122449,1.0025510204081631,never
Oklahoma,2010,14.35,51.53,36.6,1.2653061224489799,11.094387755102039,1.9285714285714293,never
Oregon,2010,12.91,42.81,27.92,1.073979591836735,9.107142857142858,1.6352040816326532,before
Pennsylvania,2010,12.94,45.03,30.39,0.6887755102040815,9.071428571428573,1.0510204081632655,never
Rhode Island,2010,10.85,41.87,25.83,1.0433673469387754,9.41326530612245,1.714285714285714,never
South Carolina,2010,11.62,44.51,30.42,1.0102040816326534,9.84438775510204,1.7270408163265296,never
South Dakota,2010,13.59,47.66,30.67,1.2015306122448977,10.267857142857142,1.808673469387755,never
Tennessee,2010,13.28,48.9,34.9,1.0892857142857146,10.535714285714286,1.8724489795918358,never
Texas,2010,9.91,38.35,26.43,0.5586734693877554,8.033163265306124,0.969387755102041,never
Utah,2010,7.28,25.1,16.4,1.0076530612244898,5.908163265306123,1.489795918367347,never
Vermont,2010,12.52,43.42,25.84,1.1275510204081634,9.377551020408164,1.6913265306122447,never
Virginia,2010,10.9,42.64,26.82,0.9821428571428575,9.474489795918368,1.6403061224489794,never
Washington,2010,11.24,44.31,25.94,1.0331632653061222,9.86734693877551,1.558673469387755,before
West Virginia,2010,17.35,51.73,40.89,1.334183673469388,10.34438775510204,1.9897959183673481,never
Wisconsin,2010,11.85,45.09,27.02,1.0153061224489797,9.933673469387756,1.6250000000000002,never
Wyoming,2010,17.44,49.52,32.73,1.4260204081632653,9.75,1.8418367346938773,never
Alabama,2011,11.37809821,44.83581917,32.908338040000004,1.0132750688775511,1.8724390969387763,1.765359716836734,never
Alaska,2011,12.391562949999999,46.47221309,33.11738748,1.2004907653061223,2.0020292882653057,2.0059673775510216,before
Arizona,2011,10.77916303,37.07022531,27.20364108,1.1306477346938777,1.923628831632653,1.8643676428571434,never
Arkansas,2011,12.34617158,44.84512315,33.122213560000006,1.1422603596938774,1.8215094642857155,1.8084546556122454,never
California,2011,7.527667879999999,32.43663718,19.322397520000003,0.5530642168367345,1.0249105331632649,0.8983252882653062,before
Colorado,2011,12.052765860000001,43.39797354,26.521291409999996,1.2002550357142856,1.9054842984693887,1.715478160714286,before
Connecticut,2011,10.07021046,41.81044523,24.7796759,1.0224512015306129,1.9263254795918372,1.7117080357142853,never
Delaware,2011,11.37058039,41.05158247,29.14098297,1.1108699081632651,1.9848275867346932,1.7138119846938766,never
Florida,2011,8.68420507,36.43530287,26.245225589999997,0.544055155612245,1.0068697270408153,0.9478768801020403,never
Georgia,2011,11.567297009999999,38.06987822,25.861212709999997,1.156213831632653,1.885514576530611,1.6577329897959188,never
Hawaii,2011,9.41815101,35.40276338,23.16819473,1.119159594387755,1.9348159311224478,1.6859198571428577,never
Idaho,2011,11.3429666,38.33738457,27.610528359999996,1.1077738112244897,1.8388252448979574,1.7725535408163255,never
Illinois,2011,9.59450491,42.39633679,26.41640412,0.5826277678571429,1.0047022551020401,0.9432285459183677,never
Indiana,2011,10.6585512,44.128580039999996,29.92361632,0.9850459821428567,1.9028508035714287,1.7310410994897956,never
Iowa,2011,12.682005360000002,44.9580855,27.862695910000003,1.1425007015306128,1.9507474311224486,1.6850805484693883,never
Kansas,2011,12.521166959999999,46.3482395,30.35562953,1.1652699999999996,1.9945329515306114,1.7604562423469383,never
Kentucky,2011,14.85094034,50.43396999000001,37.89927163,1.2461445382653058,1.9604431428571432,1.9030150994897954,never
Louisiana,2011,10.93316675,40.62547329,31.46557692,0.9369348392857145,1.6531546632653076,1.6358528443877545,never
Maine,2011,11.52548934,45.305089980000005,28.552245529999997,1.1165754183673464,1.8409968877551026,1.7115814515306134,before
Maryland,2011,7.64240925,35.90017422,23.029060870000002,0.8454332678571428,1.8595230204081628,1.6017920561224481,never
Massachusetts,2011,10.99630915,38.69859136,21.51112663,1.0245315867346942,1.8652601173469383,1.5680504795918366,before
Michigan,2011,11.12127037,45.88459588,30.40045764,0.6095276147959182,0.985149219387755,0.9978528188775504,never
Minnesota,2011,10.39950201,45.55157002,24.916383850000003,1.0179099132653062,1.8361720102040826,1.598527313775511,never
Mississippi,2011,13.07300321,46.69714356,35.15667105,1.159902538265306,1.7928345943877544,1.799383510204083,never
Missouri,2011,15.12036536,46.92915404,33.80413333,1.2831010255102042,1.8530443418367344,1.8210158596938775,never
Montana,2011,16.49006863,48.74622744,30.81755691,1.3859184719387752,1.8222194744897968,1.7326173979591843,never
Nebraska,2011,11.56329186,41.93039712,28.110929969999997,1.0905662576530613,1.8331779872448961,1.7600168214285723,never
Nevada,2011,8.5962607,37.99961105,26.79801746,1.1205648316326529,2.0320605000000014,1.9079697755102039,before
New Hampshire,2011,13.65183693,46.05450434,25.91141632,1.322154859693878,1.8687111938775516,1.7346541071428576,never
New Jersey,2011,10.298472259999999,41.4126029,25.887872830000003,1.0963560561224488,1.9566823418367336,1.7085598137755111,never
New Mexico,2011,12.0264536,42.550067940000005,24.853508530000003,1.1623020204081635,1.86789336479592,1.712127102040817,never
New York,2011,8.72987159,35.34107348,23.73982958,0.579445163265306,1.0257924030612244,0.956003989795918,never
North Carolina,2011,11.37298465,42.54251372,28.37858652,1.0795239489795923,1.9399860892857137,1.6707434056122432,never
North Dakota,2011,12.31312825,43.809773619999994,27.43064253,1.2086704260204078,1.740029839285714,1.7233545765306126,never
Ohio,2011,12.72271716,46.22044594,32.0048558,0.6498828316326533,0.9636257704081644,0.9848343316326527,never
Oklahoma,2011,14.37554285,48.46063846,35.610602209999996,1.3175132372448985,2.0582416530612244,1.9686901301020414,never
Oregon,2011,10.09336624,41.30557704,26.30341057,0.951812783163265,1.8645096224489792,1.596620099489796,before
Pennsylvania,2011,12.11610748,43.693080020000004,29.30333555,0.6685604974489789,1.135574278061226,0.9950799515306127,never
Rhode Island,2011,10.74849242,43.18413083,27.168174309999998,1.092726112244898,1.8545317244897968,1.7181094719387753,never
South Carolina,2011,12.3756431,43.36959147,31.73503319,1.1092827117346946,1.8456665765306124,1.8636690790816333,never
South Dakota,2011,14.20752465,46.63551055,30.95066985,1.2785847576530602,2.1783904056122445,1.7607679770408164,never
Tennessee,2011,13.128210269999999,47.80284259,35.562509739999996,1.1669006964285717,1.9436113469387741,1.8768004285714288,never
Texas,2011,8.81497426,37.47098271,25.67829875,0.5448923928571425,0.963604545918367,0.956859086734694,never
Utah,2011,6.9334273,23.99783592,15.32704525,0.9955542066326533,1.8106251913265305,1.461888732142857,never
Vermont,2011,14.07449465,44.681116939999995,26.62698858,1.2998368647959186,1.879185283163264,1.684911936224491,never
Virginia,2011,9.05955585,39.20253956,24.28171912,0.9105530484693878,1.8116040586734683,1.5508174183673467,never
Washington,2011,11.60732119,44.30441096,26.70574706,1.0938909515306123,1.9180503061224499,1.6851582474489797,before
West Virginia,2011,16.8504295,50.216427249999995,38.908329699999996,1.3496521198979587,1.7786997372448983,1.8620397729591842,never
Wisconsin,2011,9.76159227,42.75331912,26.399165219999997,0.9770243418367347,1.9620723290816322,1.756730191326531,never
Wyoming,2011,14.90577495,47.1774309,31.13342161,1.3007403852040815,1.9333519209183674,1.8037431734693872,never
Alabama,2012,10.77,43.71,32.87,1,1.7602040816326527,1.688775510204083,never
Alaska,2012,10.3,46.56,31.72,1.1275510204081634,2.0663265306122454,1.818877551020408,before
Arizona,2012,7.93,37.36,26.39,0.9234693877551021,1.9795918367346934,1.6760204081632655,never
Arkansas,2012,11.68,42.67,32.25,1.0994897959183676,1.852040816326532,1.8137755102040807,never
California,2012,6.56,31.1,18.93,0.471938775510204,0.9668367346938782,0.7908163265306126,before
Colorado,2012,10.63,43.1,28.19,1.068877551020408,1.9005102040816315,1.6045918367346945,after
Connecticut,2012,8.44,37.7,24.64,0.9107142857142858,1.8852040816326532,1.5178571428571428,never
Delaware,2012,10.07,40.16,28.06,1.0382653061224487,1.9744897959183678,1.5867346938775508,never
Florida,2012,7.24,34.87,24.87,0.47959183673469385,0.9668367346938773,0.9209183673469387,never
Georgia,2012,10.27,36.28,27,1.0663265306122454,1.8545918367346947,1.6275510204081631,never
Hawaii,2012,8.57,33.79,19.5,1.0178571428571428,1.8673469387755104,1.4234693877551026,never
Idaho,2012,9.25,35.3,26.6,0.9566326530612242,1.99234693877551,1.7346938775510206,never
Illinois,2012,8.46,39.94,26.41,0.538265306122449,1.0586734693877549,0.9056122448979584,never
Indiana,2012,10.93,44.66,33.65,1.0892857142857142,1.887755102040816,1.7423469387755097,never
Iowa,2012,10.57,42.53,25.88,1.0459183673469388,1.9260204081632664,1.6326530612244903,never
Kansas,2012,10.46,43.8,29.58,1.0076530612244896,1.9056122448979589,1.6658163265306125,never
Kentucky,2012,14.5,54.07,38.76,1.2984693877551021,1.8673469387755104,1.852040816326532,never
Louisiana,2012,9.96,41.32,34.39,0.9234693877551019,1.7168367346938769,1.5892857142857144,never
Maine,2012,10.09,44.04,28.18,1.0382653061224492,1.8112244897959169,1.6836734693877555,before
Maryland,2012,7.53,36.29,23.17,0.8290816326530612,1.85204081632653,1.6122448979591837,never
Massachusetts,2012,10.92,34.22,23.43,1.0357142857142854,1.7882653061224494,1.6224489795918375,before
Michigan,2012,10.77,44.3,30.99,0.6147959183673465,0.9897959183673476,0.9285714285714296,never
Minnesota,2012,10.56,44.04,26.01,1.0535714285714288,2.035714285714285,1.645408163265306,never
Mississippi,2012,12.86,46.46,36.6,1.191326530612245,1.8801020408163258,1.8061224489795915,never
Missouri,2012,12.28,44.39,32.02,1.0943877551020407,1.8571428571428574,1.6581632653061225,never
Montana,2012,15.47,49.68,29.68,1.267857142857143,1.9362244897959175,1.5790816326530606,never
Nebraska,2012,9.84,40.15,26.13,0.9821428571428571,1.85204081632653,1.5459183673469385,never
Nevada,2012,9.1,39.6,27.2,1.0969387755102042,2.127551020408164,1.732142857142857,before
New Hampshire,2012,10.93,42.86,25.26,1.0484693877551023,1.85204081632653,1.5994897959183674,never
New Jersey,2012,8.71,36.81,23.08,0.9438775510204083,1.9438775510204094,1.594387755102041,never
New Mexico,2012,11.31,42.98,25.07,1.193877551020408,1.913265306122449,1.6913265306122456,never
New York,2012,7.95,35.53,23.98,0.558673469387755,0.9923469387755104,0.9132653061224495,never
